loc,function_count,avg_function_length,max_function_length,cyclomatic_complexity,max_nesting_depth,total_issue_count,security_issue_count,duplication_ratio,dependency_risk_score,has_tests,structural_risk,security_risk,maintainability_risk,test_risk,overall_risk
10,0,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
91,25,0.0,0,2,0,2,0,0.005324630711095843,0.0,1,0.14,0.0,0.0432,0.0,0.0576
256,11,0.0,0,2,0,0,0,0.005324630711095843,0.0,1,0.06,0.0,0.0432,0.0,0.0296
26,1,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
21,1,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
213,5,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
153,1,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
33,1,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
170,5,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
235,4,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
221,9,0.0,0,4,0,0,0,0.005324630711095843,0.0,1,0.12,0.0,0.0832,0.0,0.0586
210,3,0.0,0,1,0,0,0,0.005324630711095843,0.0,1,0.03,0.0,0.0232,0.0,0.0151
460,17,0.0,0,3,0,2,0,0.005324630711095843,0.0,1,0.17,0.0,0.0632,0.0,0.0721
308,25,0.0,0,2,0,1,0,0.005324630711095843,0.0,1,0.1,0.0,0.0432,0.0,0.0436
38,1,0.0,0,1,0,1,0,0.27634660421545665,0.07,1,0.07,0.021,0.1858,0.0,0.068
14,1,0.0,0,1,0,2,0,0.27634660421545665,0.07,1,0.11,0.021,0.1858,0.0,0.082
65,1,0.0,0,5,0,1,0,0.27634660421545665,0.07,1,0.19,0.021,0.2658,0.0,0.126
57,1,0.0,0,8,0,0,0,0.27634660421545665,0.07,1,0.24,0.021,0.3258,0.0,0.1555
47,1,0.0,0,2,0,1,0,0.27634660421545665,0.07,1,0.1,0.021,0.2058,0.0,0.0825
48,1,0.0,0,3,0,1,0,0.27634660421545665,0.07,1,0.13,0.021,0.2258,0.0,0.097
85,1,0.0,0,7,0,1,0,0.27634660421545665,0.07,1,0.25,0.021,0.3058,0.0,0.155
57,1,0.0,0,3,0,1,0,0.27634660421545665,0.07,1,0.13,0.021,0.2258,0.0,0.097
34,1,0.0,0,3,0,1,0,0.27634660421545665,0.07,1,0.13,0.021,0.2258,0.0,0.097
46,1,0.0,0,3,0,1,0,0.27634660421545665,0.07,1,0.13,0.021,0.2258,0.0,0.097
105,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
32,1,0.0,0,3,0,1,0,0.27634660421545665,0.07,1,0.13,0.021,0.2258,0.0,0.097
50,2,0.0,0,3,0,2,0,0.27634660421545665,0.07,1,0.17,0.021,0.2258,0.0,0.111
79,1,0.0,0,4,0,1,0,0.27634660421545665,0.07,1,0.16,0.021,0.2458,0.0,0.1115
45,1,0.0,0,2,0,1,0,0.27634660421545665,0.07,1,0.1,0.021,0.2058,0.0,0.0825
14,1,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
36,1,0.0,0,1,0,1,0,0.27634660421545665,0.07,1,0.07,0.021,0.1858,0.0,0.068
71,1,0.0,0,5,0,1,0,0.27634660421545665,0.07,1,0.19,0.021,0.2658,0.0,0.126
44,1,0.0,0,2,0,1,0,0.27634660421545665,0.07,1,0.1,0.021,0.2058,0.0,0.0825
12,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
88,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
11,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
11,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
80,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
52,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
16,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
47,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
43,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
11,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
14,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
65,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
32,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
11,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
11,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
72,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
12,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
17,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
19,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
11,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
32,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
19,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
110,8,0.0,0,11,0,1,0,0.27634660421545665,0.07,1,0.37,0.021,0.3858,0.0,0.213
24,1,0.0,0,2,0,0,0,0.27634660421545665,0.07,1,0.06,0.021,0.2058,0.0,0.0685
234,13,0.0,0,12,0,4,0,0.27634660421545665,0.07,1,0.52,0.021,0.4058,0.0,0.2695
48,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
41,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
145,2,0.0,0,8,0,0,0,0.27634660421545665,0.07,1,0.24,0.021,0.3258,0.0,0.1555
9,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
345,19,0.0,0,17,0,1,0,0.27634660421545665,0.07,1,0.55,0.021,0.5058,0.0,0.3
103,1,0.0,0,2,0,0,0,0.27634660421545665,0.07,1,0.06,0.021,0.2058,0.0,0.0685
55,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
79,5,0.0,0,4,0,0,0,0.27634660421545665,0.07,1,0.12,0.021,0.2458,0.0,0.0975
32,0,0.0,0,1,0,0,0,0.27634660421545665,0.07,1,0.03,0.021,0.1858,0.0,0.054
